,0,1,2,3,4,5,6,7,8,9
Churn,0.009695654468305873,0.26658163691688075,-0.04911393344084468,0.014980736308689853,-0.007032680366558048,-0.08948305340419448,0.015662733749576798,0.029237028294295003,-0.019365454383441543,-0.006826953264234606
Contract_One year,0.03469279718692423,-0.07416774141094595,0.09258146724607569,0.0799283058648451,0.037476322496977056,0.2634886540924685,-0.07779964332241797,-0.04287399835631422,0.026992811988799027,0.08871885421406639
Contract_Two year,0.06281289164249122,-0.276329744121694,-0.08355064892101068,-0.08019416483842856,-0.028114211608640763,-0.18160345381685283,0.025674568569620124,-0.0010811490684182188,-0.07178744219322857,-0.0581173181402527
Dependents,-0.013477399647588576,-0.18099686940274698,-0.11312405749576808,0.30941715025799144,0.0017477931806641853,-0.034085020135642456,0.08109235130073905,0.04262403098390806,0.0043072481968884765,0.013130022823580013
DeviceProtection,0.2770039336636911,-0.07240756890768313,0.1287315170312331,0.04049025478522325,0.011689966525744956,-0.03597473792810548,-0.016543167726363526,-0.024201536698432426,-0.10183031212373725,-0.02751369562875158
InternetService_Fiber optic,0.3088857210019397,0.27239242931873625,-0.14175922019884374,-0.026556256103231847,-0.0020321790801919727,0.06185669100262409,0.08885309161290346,0.020848316114782328,0.01569011964444808,-0.005293469026555412
InternetService_No,-0.27089175675347343,-0.15941643128985994,-0.13922665331853235,-0.05859336750929765,-0.0022310093295354614,0.05850507271587036,-0.008519317180201354,-0.047090814504210994,-0.07489524151511368,0.03644326133745911
MonthlyCharges,0.9230308919478524,0.33873455589375934,0.02726046735294162,0.03981838142718447,-0.0022948092252483626,0.008189129772113259,0.15037464354187058,0.028096867944934305,0.0005763693113134568,-0.025000288714220203
MultipleLines,0.2653262279674556,0.012330019258419127,-0.2197574999512185,-0.09473707474407134,-0.013764497769906427,0.09569955727709913,0.07915606007593953,0.010360864692481217,0.03211372252442582,-0.045375511021068
OnlineBackup,0.25797817193998146,-0.07566744649042295,0.09991602944940108,0.012328371326234225,-0.0052975173929071685,-0.00499825542930352,-0.039184412952180385,0.02231327788416566,0.20748940315328093,-0.007922658042160486
OnlineSecurity,0.17977670659183226,-0.13711782449047918,0.1762168984566272,0.0400637308011654,-0.013532977933231636,-0.05000595424950817,0.05446781376319654,0.032689560864048596,0.16514417480349633,-0.07370140311900486
PaperlessBilling,0.15684140692714996,0.17239539021219596,-0.0381353579141403,0.007493558251586681,-0.011230557025988613,-0.05193059547841127,-0.19224322965720975,0.20867965098888816,0.03694999064551958,0.26724883265431265
Partner,0.11971399750795272,-0.20453749429724039,-0.19976494292777822,0.31393199109875564,-0.0058678709817901135,-0.025422360933422667,-0.006687829656531724,0.027827274087447396,0.02534203911054062,0.005612612001053366
PaymentMethod_Credit card (automatic),0.05111720230810483,-0.12234166379285957,0.019621107564445288,-0.05053133503981732,-0.012545707256278217,0.05365511155556228,-0.020540799235147587,0.30187460922541665,-0.09733130510432962,-0.11419892773672055
PaymentMethod_Electronic check,0.07144010401358689,0.27589111411964756,-0.07689706620104812,0.07645779324926476,0.012693845851916756,-0.09629102856071509,-0.20280315499315799,-0.18693823718351624,0.07564564262412352,-0.10767552447290042
PaymentMethod_Mailed check,-0.17218352270147863,-0.06771337873104162,0.06633664150039173,-0.015698159186044034,0.00905380405125157,0.03044793139809789,0.21670633572840114,-0.10291985141009946,0.00956468676410782,0.20342398415254614
PhoneService,0.04478547709802096,0.032566774161890515,-0.1196543059138055,-0.04396536692669415,-0.0052380961699391325,0.07378155486755246,0.10289327491988946,0.0008955866667903525,0.003802399089269652,0.002172214063387911
SeniorCitizen,0.07149640911171815,0.0918514001416215,-0.05011007879891625,-0.04491925446309575,0.0006784755314430573,0.018058261537013454,-0.07529597300339208,0.005192372994427352,0.010933011780823213,-0.00851837011987975
StreamingMovies,0.32385831551541083,0.03706280741797821,0.07007832951247855,0.04841255499436287,0.007064763219381213,-0.048081734518723905,-0.032097998320716956,-0.06102772408099275,-0.20035495893336014,0.049448941780035435
StreamingTV,0.32264315286660433,0.040060033392035316,0.061356058146557015,0.06427115475854718,0.008374435341848206,-0.047844840827501685,-0.026276821996251008,-0.058453190646402066,-0.18941179035808559,0.06169953481345666
TechSupport,0.20060897206685063,-0.13151734026480763,0.20365214996981473,0.0338547731726158,-0.006316865126414859,-0.079573678354161,0.04007760557337484,0.02257748637487634,0.009418701858937686,-0.014551307812448292
TotalCharges,0.8809503965333529,-0.40051605843233906,-0.07490529635019715,-0.11147706632322324,0.01171147871717192,0.07111188288162175,-0.08423990008136988,-0.07761752699377043,0.032636211314938525,0.04763884403071217
gender,-0.005819957839384492,-0.008001516739575568,-0.01863188062441457,-0.014259997028221604,0.49668535011811843,-0.03223199613146614,0.014055876537830012,0.028964485757462428,0.006459665583116605,-0.01193175298630685
tenure_Tenure_12-24,-0.04802470444318738,0.06346156550172641,0.010481219953206111,0.03519038343971969,-0.000949694550396425,-0.046758239600331486,0.08361090583995705,0.03184218501059917,0.03505952035815169,0.04004867131280546
tenure_Tenure_24-48,0.009740297049960845,0.005228297507127729,0.05974981817900287,0.0928913418870728,0.007486862527078433,0.23873449010180092,-0.0648195378047271,0.004627737815275398,-0.08196128875893184,-0.1306154021347127
tenure_Tenure_48-60,0.051552336435163826,-0.04941841698164725,-0.008417640991906011,-0.0005658070682155565,0.004536564632770196,0.04119523638769931,-0.04133239998576771,-0.03347728825726397,0.029782471602747253,0.05623948850972501
tenure_Tenure_gt_60,0.17551694045040547,-0.22805537306200652,-0.08700783679560467,-0.10269934333862323,-0.0036794785396731954,-0.11323517361567405,-0.035018230044342465,-0.007871580533675102,0.013682497666989252,0.011912564900972372
